scale_indicator,covariate
scale.1,developed_low_intensity
scale.2,developed_high_intensity
scale.3,barren_land
scale.4,deciduous_forest
scale.5,evergreen_forest
scale.6,mixed_forest
scale.7,shrub_scrub
scale.8,grassland_herbaceous
scale.9,pasture_hay
scale.10,cultivated_crop
scale.11,woody_wetland
scale.12,emergent_wetland
scale.13,ocean
scale.14,lakes
scale.15,rivers
scale.16,elevation
scale.17,aspect
scale.18,slope
scale.19,precipitation
scale.20,max_temperature
scale.21,snow
