"species","selected_developed_low_intensity","probability_developed_low_intensity","selected_developed_high_intensity","probability_developed_high_intensity","selected_barren_land","probability_barren_land","selected_deciduous_forest","probability_deciduous_forest","selected_evergreen_forest","probability_evergreen_forest","selected_mixed_forest","probability_mixed_forest","selected_shrub_scrub","probability_shrub_scrub","selected_grassland_herbaceous","probability_grassland_herbaceous","selected_pasture_hay","probability_pasture_hay","selected_cultivated_crop","probability_cultivated_crop","selected_woody_wetland","probability_woody_wetland","selected_emergent_wetland","probability_emergent_wetland","selected_ocean","probability_ocean","selected_lakes","probability_lakes","selected_rivers","probability_rivers","selected_elevation","probability_elevation","selected_aspect","probability_aspect","selected_slope","probability_slope","selected_precipitation","probability_precipitation","selected_max_temperature","probability_max_temperature"
"Abert's Towhee",37767,0.0558666666666667,1069,0.130633333333333,4128,0.0911333333333333,1069,0.386433333333333,8205,0.0520333333333333,31651,0.0374333333333333,50,0.0539666666666667,13302,0.0520666666666667,50,0.162466666666667,47961,0.0723,50,0.2325,29612,0.131933333333333,10244,0.0342333333333333,4128,0.0556666666666667,10244,0.0487666666666667,50,0.0549,31651,0.0898333333333333,50,0.3639,2000,0.0410666666666667,34000,0.0424666666666667
"Acadian Flycatcher",1069,0.377133333333333,11263,0.0995666666666667,1069,0.181666666666667,50,0.838333333333333,10244,0.0928666666666667,1069,0.330433333333333,31651,0.0393666666666667,2088,0.0834333333333333,50,0.5744,1069,0.179533333333333,50,0.884233333333333,2088,0.0615333333333333,1069,0.0657666666666667,50000,0.0691333333333333,25535,0.0821333333333333,50000,0.0883333333333333,50000,0.0753333333333333,50,0.9007,1000,0.0400666666666667,32000,0.0416
"Acorn Woodpecker",7185,0.154433333333333,5147,0.0970333333333333,11263,0.0907333333333333,50,0.106266666666667,29612,0.0606333333333333,4128,0.1936,50000,0.0711666666666667,50000,0.107666666666667,43883,0.0662333333333333,9224,0.0748333333333333,29612,0.0987333333333333,1069,0.2085,31651,0.1052,9224,0.0642666666666667,3108,0.0755333333333333,21457,0.0495,35728,0.0586333333333333,50,0.729133333333333,1000,0.0672,4000,0.133433333333333
"Alder Flycatcher",37767,0.0814,45922,0.0617333333333333,31651,0.0801333333333333,1069,0.0774333333333333,50,0.5275,3108,0.1704,1069,0.282866666666667,35728,0.0582,50,0.255066666666667,50000,0.0777666666666667,50,0.99,50,0.966433333333333,2088,0.143466666666667,1069,0.6815,27574,0.0459666666666667,50,0.0977,2088,0.0925333333333333,1069,0.106766666666667,1000,0.0693333333333333,50000,0.0776
"Allen's Hummingbird",1069,0.161,50,0.0932,2088,0.246033333333333,1069,0.0768,35728,0.0694666666666667,33690,0.0561666666666667,2088,0.045,47961,0.1207,50,0.332033333333333,50000,0.0621333333333333,19418,0.100533333333333,50000,0.0801666666666667,4128,0.0865,8205,0.1042,8205,0.0466,43883,0.0686666666666667,2088,0.115666666666667,4128,0.133733333333333,34000,0.0347,1000,0.0403
"American Avocet",50,0.177633333333333,1069,0.0574333333333333,6166,0.143433333333333,3108,0.0521666666666667,8205,0.0638,11263,0.0546333333333333,1069,0.0485666666666667,11263,0.0510666666666667,8205,0.102133333333333,2088,0.3478,50,0.0744333333333333,1069,0.205133333333333,25535,0.0365333333333333,50,0.5045,50,0.0431,39806,0.0370666666666667,1069,0.0572,7185,0.0831,20000,0.0352,11000,0.0364666666666667
"American Bittern",47961,0.0434333333333333,50000,0.0400333333333333,8205,0.0381,47961,0.0381,4128,0.0502666666666667,8205,0.0508333333333333,25535,0.0410333333333333,2088,0.0531666666666667,10244,0.0542666666666667,5147,0.0389333333333333,1069,0.127333333333333,1069,0.922666666666667,45922,0.038,50000,0.0470333333333333,50000,0.0834666666666667,1069,0.0402666666666667,1069,0.0424666666666667,7185,0.0385333333333333,1000,0.0404333333333333,40000,0.0351
"American Coot",1069,0.211666666666667,50000,0.0812333333333333,1069,0.3022,4128,0.124133333333333,4128,0.0789333333333333,5147,0.0647666666666667,1069,0.0638333333333333,1069,0.313766666666667,50,0.129533333333333,3108,0.246633333333333,50000,0.0627333333333333,1069,0.9997,37767,0.0473666666666667,50,0.99,50,0.0550333333333333,50000,0.0359666666666667,1069,0.5742,50000,0.0461,6000,0.0387666666666667,4000,0.0372
"American Crow",1069,0.118466666666667,50000,0.1572,50000,0.172233333333333,1069,0.882666666666667,1069,0.925533333333333,50000,0.1866,2088,0.387033333333333,50,0.275966666666667,50,0.187566666666667,50,0.5299,3108,0.109866666666667,50000,0.270133333333333,1069,0.8174,50000,0.193733333333333,6166,0.237966666666667,1069,0.396166666666667,4128,0.123366666666667,50000,0.239733333333333,1000,0.0479666666666667,1000,0.5418
"American Dipper",9224,0.0437,50000,0.0373,50000,0.0459,1069,0.0929333333333333,1069,0.0898333333333333,11263,0.0724,1069,0.044,31651,0.0373666666666667,17380,0.0429666666666667,15340,0.0385666666666667,50,0.182333333333333,1069,0.0379333333333333,21457,0.0353333333333333,3108,0.0440333333333333,4128,0.0362666666666667,50,0.0476,27574,0.0396,1069,0.113433333333333,40000,0.0346333333333333,50000,0.0485333333333333
