"Coefficient","mean","sd","median","95% CI","species"
"beta.0",-4,0.5,-4,"-5.1 - -3.1","Abert's Towhee"
"beta.aspect",2.2,7.1,2.2,"-11 - 17","Abert's Towhee"
"beta.aspect_sq",12,6.5,12,"-1.6 - 24","Abert's Towhee"
"beta.barren_land",-2.7,6.8,-2.7,"-16 - 11","Abert's Towhee"
"beta.barren_land_sq",-10,6.6,-10,"-24 - 2","Abert's Towhee"
"beta.cultivated_crop",-2.8,7.2,-2.7,"-17 - 11","Abert's Towhee"
"beta.cultivated_crop_sq",-4.6,7.4,-4.5,"-19 - 9.5","Abert's Towhee"
"beta.deciduous_forest",0.36,7.2,1.1,"-16 - 13","Abert's Towhee"
"beta.deciduous_forest_sq",6.6,8.9,6.8,"-12 - 24","Abert's Towhee"
"beta.developed_high_intensity",-3.7,7.6,-3.7,"-19 - 11","Abert's Towhee"
"beta.developed_high_intensity_sq",3.5,6.8,3.5,"-10 - 17","Abert's Towhee"
"beta.developed_low_intensity",7.1,7.5,6.9,"-7.3 - 22","Abert's Towhee"
"beta.developed_low_intensity_sq",-3,6.3,-2.8,"-16 - 8.9","Abert's Towhee"
"beta.effort_hours",0.85,0.23,0.84,"0.42 - 1.3","Abert's Towhee"
"beta.elevation",-9.2,8.8,-9.1,"-27 - 7.7","Abert's Towhee"
"beta.elevation_sq",0.77,7.9,0.88,"-15 - 16","Abert's Towhee"
"beta.emergent_wetland",-7.5,7.2,-7.4,"-22 - 6","Abert's Towhee"
"beta.emergent_wetland_sq",11,8.1,11,"-8.6 - 24","Abert's Towhee"
"beta.evergreen_forest",-0.48,9.2,0.021,"-20 - 17","Abert's Towhee"
"beta.evergreen_forest_sq",-3.6,8.1,-3.5,"-20 - 12","Abert's Towhee"
"beta.grassland_herbaceous",-9.1,7.3,-9,"-24 - 4.6","Abert's Towhee"
"beta.grassland_herbaceous_sq",-0.71,6.9,-0.49,"-15 - 12","Abert's Towhee"
"beta.lakes",2.2,7,2.4,"-12 - 15","Abert's Towhee"
"beta.lakes_sq",-3.8,5.7,-3.8,"-15 - 7.5","Abert's Towhee"
"beta.max_temperature",5,8.3,5,"-11 - 21","Abert's Towhee"
"beta.max_temperature_sq",-2.7,7.2,-2.6,"-17 - 11","Abert's Towhee"
"beta.mixed_forest",-5.8,7.7,-5.4,"-22 - 8","Abert's Towhee"
"beta.mixed_forest_sq",0.092,8,-0.034,"-15 - 16","Abert's Towhee"
"beta.number_observers",0.085,0.49,0.13,"-1 - 0.93","Abert's Towhee"
"beta.ocean",0.031,10,0.079,"-20 - 19","Abert's Towhee"
"beta.ocean_sq",-0.11,10,-0.056,"-20 - 20","Abert's Towhee"
