"covariate","mean","95% CI","species"
"Developed low intensity",25535,"50-50000","Abert's Towhee"
"Cultivated crop",25535,"50-50000","Abert's Towhee"
"Woody wetland",7186,"50-41845","Abert's Towhee"
"Emergent wetland",25535,"4128-45922","Abert's Towhee"
"Ocean",19418,"50-50000","Abert's Towhee"
"Lakes",21457,"1069-50000","Abert's Towhee"
"Rivers",21457,"50-47961","Abert's Towhee"
"Elevation",15341,"50-47961","Abert's Towhee"
"Aspect",27573,"4128-47961","Abert's Towhee"
"Slope",9224,"50-45922","Abert's Towhee"
"Precipitation",18000,"1000-50000","Abert's Towhee"
"Developed high intensity",19418,"50-50000","Abert's Towhee"
"Max temperature",20000,"1000-48000","Abert's Towhee"
"Barren land",13302,"2089-47961","Abert's Towhee"
"Deciduous forest",9224,"50-47961","Abert's Towhee"
"Evergreen forest",15341,"50-47961","Abert's Towhee"
"Mixed forest",19418,"50-47961","Abert's Towhee"
"Shrub scrub",19418,"50-50000","Abert's Towhee"
"Grassland herbaceous",23496,"1069-50000","Abert's Towhee"
"Pasture hay",17380,"50-50000","Abert's Towhee"
"Developed low intensity",2089,"1069-5147","Acadian Flycatcher"
"Cultivated crop",11263,"50-47961","Acadian Flycatcher"
"Woody wetland",50,"50-1069","Acadian Flycatcher"
"Emergent wetland",19418,"50-50000","Acadian Flycatcher"
"Ocean",21457,"50-50000","Acadian Flycatcher"
"Lakes",27573,"50-50000","Acadian Flycatcher"
"Rivers",29612,"3108-50000","Acadian Flycatcher"
"Elevation",33690,"50-50000","Acadian Flycatcher"
"Aspect",29612,"1069-50000","Acadian Flycatcher"
"Slope",50,"50-2089","Acadian Flycatcher"
"Precipitation",20000,"1000-50000","Acadian Flycatcher"
"Developed high intensity",15341,"2089-47961","Acadian Flycatcher"
"Max temperature",24000,"2000-50000","Acadian Flycatcher"
"Barren land",23496,"1069-50000","Acadian Flycatcher"
"Deciduous forest",50,"50-1069","Acadian Flycatcher"
"Evergreen forest",13302,"2089-47961","Acadian Flycatcher"
"Mixed forest",2089,"50-23496","Acadian Flycatcher"
"Shrub scrub",21457,"50-50000","Acadian Flycatcher"
"Grassland herbaceous",13302,"50-47961","Acadian Flycatcher"
"Pasture hay",7186,"50-47961","Acadian Flycatcher"
"Developed low intensity",9224,"2089-35729","Acorn Woodpecker"
"Cultivated crop",13302,"1069-47961","Acorn Woodpecker"
"Woody wetland",29612,"2089-50000","Acorn Woodpecker"
"Emergent wetland",7186,"1069-47961","Acorn Woodpecker"
"Ocean",27573,"1069-47961","Acorn Woodpecker"
"Lakes",19418,"1069-50000","Acorn Woodpecker"
"Rivers",13302,"50-47961","Acorn Woodpecker"
"Elevation",25535,"1069-50000","Acorn Woodpecker"
"Aspect",23496,"1069-50000","Acorn Woodpecker"
"Slope",3108,"50-43884","Acorn Woodpecker"
"Precipitation",16000,"1000-50000","Acorn Woodpecker"
"Developed high intensity",9224,"1069-37767","Acorn Woodpecker"
"Max temperature",6000,"1000-28000","Acorn Woodpecker"
"Barren land",10244,"2089-43884","Acorn Woodpecker"
"Deciduous forest",19418,"50-50000","Acorn Woodpecker"
"Evergreen forest",27573,"3108-50000","Acorn Woodpecker"
"Mixed forest",6166,"1069-19418","Acorn Woodpecker"
"Shrub scrub",25535,"50-50000","Acorn Woodpecker"
"Grassland herbaceous",31651,"2089-50000","Acorn Woodpecker"
"Pasture hay",27573,"1069-50000","Acorn Woodpecker"
"Developed low intensity",31651,"2089-50000","Alder Flycatcher"
"Cultivated crop",25535,"50-50000","Alder Flycatcher"
"Woody wetland",50,"50-50","Alder Flycatcher"
"Emergent wetland",50,"50-1069","Alder Flycatcher"
"Ocean",11263,"50-50000","Alder Flycatcher"
"Lakes",3108,"1069-33690","Alder Flycatcher"
"Rivers",21457,"50-50000","Alder Flycatcher"
"Elevation",15341,"50-47961","Alder Flycatcher"
"Aspect",21457,"1069-50000","Alder Flycatcher"
"Slope",11263,"1069-47961","Alder Flycatcher"
"Precipitation",16000,"1000-50000","Alder Flycatcher"
"Developed high intensity",25535,"1069-50000","Alder Flycatcher"
"Max temperature",28000,"1000-50000","Alder Flycatcher"
"Barren land",29612,"2089-50000","Alder Flycatcher"
"Deciduous forest",19418,"50-50000","Alder Flycatcher"
"Evergreen forest",8205,"50-50000","Alder Flycatcher"
"Mixed forest",13302,"2089-50000","Alder Flycatcher"
"Shrub scrub",5147,"1069-25535","Alder Flycatcher"
"Grassland herbaceous",29612,"1069-50000","Alder Flycatcher"
"Pasture hay",8205,"50-43884","Alder Flycatcher"
"Developed low intensity",13302,"50-47961","Allen's Hummingbird"
"Cultivated crop",21457,"50-50000","Allen's Hummingbird"
"Woody wetland",15341,"50-47961","Allen's Hummingbird"
"Emergent wetland",29612,"3108-50000","Allen's Hummingbird"
"Ocean",11263,"50-47961","Allen's Hummingbird"
"Lakes",15341,"2089-47961","Allen's Hummingbird"
"Rivers",17380,"50-50000","Allen's Hummingbird"
"Elevation",27573,"2089-50000","Allen's Hummingbird"
"Aspect",13302,"50-50000","Allen's Hummingbird"
"Slope",10244,"1069-47961","Allen's Hummingbird"
"Precipitation",20000,"1000-50000","Allen's Hummingbird"
"Developed high intensity",13302,"50-50000","Allen's Hummingbird"
"Max temperature",20000,"1000-50000","Allen's Hummingbird"
"Barren land",13302,"1069-50000","Allen's Hummingbird"
"Deciduous forest",15341,"1069-50000","Allen's Hummingbird"
"Evergreen forest",25535,"1069-50000","Allen's Hummingbird"
"Mixed forest",25535,"50-50000","Allen's Hummingbird"
"Shrub scrub",19418,"1069-50000","Allen's Hummingbird"
"Grassland herbaceous",31651,"50-50000","Allen's Hummingbird"
"Pasture hay",10244,"50-45922","Allen's Hummingbird"
"Developed low intensity",6166,"50-37767","American Avocet"
"Cultivated crop",4128,"1069-35729","American Avocet"
"Woody wetland",19418,"50-50000","American Avocet"
"Emergent wetland",9224,"50-47961","American Avocet"
"Ocean",19418,"1069-50000","American Avocet"
"Lakes",2089,"50-27573","American Avocet"
"Rivers",19418,"50-50000","American Avocet"
"Elevation",21457,"50-50000","American Avocet"
"Aspect",19418,"1069-50000","American Avocet"
"Slope",11263,"1069-45922","American Avocet"
"Precipitation",20000,"1000-50000","American Avocet"
"Developed high intensity",19418,"50-50000","American Avocet"
"Max temperature",20000,"1000-50000","American Avocet"
"Barren land",10244,"50-47961","American Avocet"
"Deciduous forest",17380,"1069-47961","American Avocet"
"Evergreen forest",13302,"1069-47961","American Avocet"
"Mixed forest",15341,"1069-50000","American Avocet"
"Shrub scrub",19418,"1069-50000","American Avocet"
"Grassland herbaceous",19418,"50-50000","American Avocet"
"Pasture hay",10244,"2089-45922","American Avocet"
"Developed low intensity",21457,"50-50000","American Bittern"
"Cultivated crop",19418,"50-50000","American Bittern"
"Woody wetland",11263,"50-50000","American Bittern"
"Emergent wetland",1069,"50-2089","American Bittern"
"Ocean",19418,"50-50000","American Bittern"
"Lakes",21457,"1069-50000","American Bittern"
"Rivers",25535,"50-50000","American Bittern"
"Elevation",17380,"50-50000","American Bittern"
"Aspect",21457,"50-50000","American Bittern"
"Slope",19418,"50-50000","American Bittern"
"Precipitation",20000,"1000-50000","American Bittern"
"Developed high intensity",19418,"50-50000","American Bittern"
"Max temperature",20000,"1000-50000","American Bittern"
"Barren land",17380,"50-50000","American Bittern"
"Deciduous forest",21457,"1069-50000","American Bittern"
"Evergreen forest",15341,"1069-50000","American Bittern"
"Mixed forest",15341,"50-47961","American Bittern"
"Shrub scrub",21457,"50-50000","American Bittern"
"Grassland herbaceous",17380,"50-50000","American Bittern"
"Pasture hay",17380,"1069-47961","American Bittern"
"Developed low intensity",10244,"50-50000","American Coot"
"Cultivated crop",5147,"1069-23496","American Coot"
"Woody wetland",31651,"5147-50000","American Coot"
"Emergent wetland",1069,"1069-1069","American Coot"
"Ocean",23496,"1069-50000","American Coot"
"Lakes",50,"50-50","American Coot"
"Rivers",19418,"50-50000","American Coot"
"Elevation",21457,"50-50000","American Coot"
"Aspect",6166,"1069-45922","American Coot"
"Slope",19418,"1069-50000","American Coot"
"Precipitation",18000,"1000-50000","American Coot"
"Developed high intensity",29612,"1069-50000","American Coot"
"Max temperature",18000,"1000-50000","American Coot"
"Barren land",9224,"1069-47961","American Coot"
"Deciduous forest",7186,"1069-41845","American Coot"
"Evergreen forest",11263,"50-47961","American Coot"
"Mixed forest",11263,"50-47961","American Coot"
"Shrub scrub",19418,"1069-50000","American Coot"
"Grassland herbaceous",11263,"1069-50000","American Coot"
"Pasture hay",21457,"50-50000","American Coot"
"Developed low intensity",15341,"50-50000","American Crow"
"Cultivated crop",13302,"50-50000","American Crow"
"Woody wetland",10244,"50-47961","American Crow"
"Emergent wetland",41845,"1069-50000","American Crow"
"Ocean",2089,"1069-10244","American Crow"
"Lakes",39806,"7186-50000","American Crow"
"Rivers",7186,"3108-23496","American Crow"
"Elevation",2089,"50-4128","American Crow"
"Aspect",11263,"1069-50000","American Crow"
"Slope",43884,"31651-50000","American Crow"
"Precipitation",16000,"1000-50000","American Crow"
"Developed high intensity",31651,"50-50000","American Crow"
"Max temperature",2000,"1000-6000","American Crow"
"Barren land",35729,"1069-50000","American Crow"
"Deciduous forest",1069,"1069-4128","American Crow"
"Evergreen forest",1069,"1069-2089","American Crow"
"Mixed forest",41845,"13302-50000","American Crow"
